x,y
5.9000,0.6558
5.8997,0.6547
5.8994,0.7181
5.8992,0.6904
5.8989,0.7139
5.8986,0.7375
5.8983,0.7103
5.8981,0.6831
5.8978,0.6558
5.8975,0.6286
5.8972,0.6014
5.8970,0.5742
5.8967,0.5470
5.8964,0.5198
5.8961,0.5415
5.8959,0.5632
5.8956,0.5850
5.8953,0.6067
5.8950,0.6455
5.8948,0.6843
5.8945,0.7231
5.8942,0.7619
5.8939,0.7926
5.8937,0.8234
5.8934,0.8143
5.8931,0.7141
5.8928,0.7600
5.8926,0.8059
5.8923,0.7949
5.8920,0.8750
5.8917,0.9011
5.8915,0.9271
5.8912,0.9532
5.8909,0.9792
5.8906,0.9692
5.8904,0.8682
5.8901,0.6761
5.8898,0.5750
5.8895,0.5442
5.8893,0.5133
5.8890,0.4882
5.8887,0.4630
5.8884,0.4151
5.8882,0.3671
5.8879,0.3192
5.8876,0.2713
5.8873,0.2236
5.8871,0.1759
5.8868,0.2192
5.8865,0.2626
5.8862,0.2680
5.8860,0.2735
5.8857,0.1878
5.8854,0.1022
5.8851,0.1133
5.8849,0.1244
5.8846,0.0786
5.8843,0.1239
5.8840,0.1407
5.8838,0.0664
5.8835,0.0491
5.8832,0.0318
5.8829,0.0294
5.8827,0.0270
5.8824,0.0246
5.8821,0.0222
5.8818,0.0425
5.8816,0.0629
5.8813,0.0832
5.8810,0.1036
5.8807,0.1112
5.8805,0.1187
5.8802,0.1263
5.8799,0.1338
5.8796,0.0902
5.8794,0.0465
5.8791,0.0939
5.8788,0.1413
5.8785,0.1770
5.8783,0.2126
5.8780,0.2483
5.8777,0.2840
5.8774,0.2570
5.8772,0.2301
5.8769,0.2031
5.8766,0.1762
5.8763,0.2050
5.8761,0.2337
5.8758,0.2625
5.8755,0.2913
5.8752,0.2821
5.8750,0.2730
5.8747,0.2581
5.8744,0.2433
5.8741,0.2886
5.8739,0.2429
5.8736,0.1630
5.8733,0.2349
5.8730,0.2271
5.8728,0.2193
5.8725,0.2210
5.8722,0.2227
5.8719,0.2179
5.8717,0.2132
5.8714,0.2085
5.8711,0.2038
5.8708,0.2522
5.8706,0.3006
5.8703,0.2731
5.8700,0.2457
5.8697,0.1673
5.8695,0.0888
5.8692,0.1774
5.8689,0.2659
5.8686,0.2587
5.8684,0.2514
5.8681,0.1986
5.8678,0.1458
5.8675,0.1523
5.8673,0.1588
5.8670,0.1653
5.8667,0.1718
5.8664,0.1754
5.8662,0.1791
5.8659,0.1827
5.8656,0.1864
5.8653,0.2090
5.8651,0.2316
5.8648,0.2542
5.8645,0.2768
5.8642,0.2691
5.8640,0.2614
5.8637,0.2992
5.8634,0.3370
5.8631,0.3966
5.8629,0.4562
5.8626,0.4399
5.8623,0.4236
5.8620,0.4529
5.8618,0.4821
5.8615,0.5114
5.8612,0.5407
5.8609,0.5276
5.8607,0.5146
5.8604,0.5016
5.8601,0.4886
5.8598,0.4727
5.8596,0.4569
5.8593,0.4410
5.8590,0.4252
5.8587,0.4672
5.8585,0.5092
5.8582,0.5056
5.8579,0.5021
5.8576,0.5138
5.8574,0.5254
5.8571,0.7040
5.8568,0.8826
5.8565,0.9316
5.8563,0.9806
5.8560,1.0296
5.8557,1.0786
5.8554,1.0451
5.8552,1.0115
5.8549,1.0843
5.8546,1.1570
5.8543,1.2610
5.8541,1.3650
5.8538,1.5032
5.8535,1.7324
5.8532,2.0754
5.8530,2.5702
5.8527,3.0613
5.8524,3.5523
5.8521,3.9654
5.8519,4.3786
5.8516,4.6741
5.8513,4.8179
5.8510,4.7520
5.8508,4.5951
5.8505,4.3091
5.8502,3.9322
5.8499,3.6662
5.8497,3.4912
5.8494,3.2726
5.8491,3.0540
5.8488,3.0944
5.8486,3.3473
5.8483,3.6475
5.8480,3.9478
5.8477,4.0949
5.8475,4.2420
5.8472,4.2335
5.8469,4.1340
5.8466,3.9756
5.8464,3.6655
5.8461,3.2074
5.8458,2.7493
5.8455,2.3014
5.8452,1.8536
5.8450,1.4512
5.8447,1.0488
5.8444,0.8295
5.8441,0.6103
5.8439,0.4668
5.8436,0.3234
5.8433,0.2977
5.8430,0.2721
5.8428,0.2521
5.8425,0.2321
5.8422,0.1609
5.8419,0.1807
5.8417,0.1494
5.8414,0.1180
5.8411,0.0603
5.8408,0.0026
5.8406,0.0512
5.8403,0.0997
5.8400,0.1169
5.8397,0.1342
5.8395,0.0945
5.8392,0.1459
5.8389,0.1866
5.8386,0.1363
5.8384,0.0917
5.8381,0.1381
5.8378,0.1446
5.8375,0.1512
5.8373,0.2147
5.8370,0.1871
5.8367,0.1721
5.8364,0.1571
5.8362,0.1876
5.8359,0.1271
5.8356,0.1121
5.8353,0.0971
5.8351,0.0252
5.8348,0.0443
5.8345,0.0436
5.8342,0.0430
5.8340,0.0480
5.8337,0.0530
5.8334,0.0836
5.8331,0.1142
5.8329,0.1448
5.8326,0.1755
5.8323,0.1347
5.8320,0.0939
5.8318,0.1044
5.8315,0.1149
5.8312,0.1140
5.8309,0.2041
5.8307,0.1728
5.8304,0.1416
5.8301,0.0962
5.8298,0.1418
5.8296,0.1363
5.8293,0.1308
5.8290,0.1793
5.8287,0.2278
5.8285,0.2706
5.8282,0.3135
5.8279,0.3383
5.8276,0.2720
5.8274,0.2058
5.8271,0.2306
5.8268,0.2687
5.8265,0.3068
5.8263,0.2690
5.8260,0.2312
5.8257,0.2262
5.8254,0.1301
5.8252,0.1099
5.8249,0.1808
5.8246,0.1853
5.8243,0.1898
5.8241,0.1999
5.8238,0.2101
5.8235,0.2260
5.8232,0.2419
5.8230,0.2577
5.8227,0.2736
5.8224,0.3160
5.8221,0.3584
5.8219,0.3003
5.8216,0.2422
5.8213,0.1586
5.8210,0.1660
5.8208,0.2038
5.8205,0.2417
5.8202,0.2036
5.8199,0.2565
5.8197,0.3550
5.8194,0.3625
5.8191,0.3934
5.8188,0.4243
5.8186,0.4040
5.8183,0.3838
5.8180,0.4289
5.8177,0.4740
5.8175,0.4794
5.8172,0.4847
5.8169,0.4637
5.8166,0.5338
5.8164,0.5526
5.8161,0.5715
5.8158,0.5097
5.8155,0.4479
5.8153,0.3862
5.8150,0.3244
5.8147,0.3349
5.8144,0.3455
5.8142,0.3560
5.8139,0.3666
5.8136,0.3847
5.8133,0.4029
5.8131,0.4665
5.8128,0.5302
5.8125,0.5880
5.8122,0.6458
5.8120,0.6277
5.8117,0.6097
5.8114,0.6713
5.8111,0.7328
5.8109,0.6882
5.8106,0.6436
5.8103,0.6805
5.8100,0.7174
5.8098,0.7088
5.8095,0.7002
5.8092,0.7277
5.8089,0.7551
5.8087,0.7826
5.8084,0.8100
5.8081,0.8648
5.8078,0.9196
5.8076,0.8833
5.8073,0.8470
5.8070,0.7851
5.8067,0.7232
5.8065,0.7524
5.8062,0.7816
5.8059,0.7619
5.8056,0.7422
5.8054,0.6770
5.8051,0.6118
5.8048,0.5580
5.8045,0.5041
5.8043,0.4958
5.8040,0.4875
5.8037,0.4214
5.8034,0.3553
5.8032,0.3803
5.8029,0.4052
5.8026,0.3932
5.8023,0.3812
5.8021,0.4602
5.8018,0.5392
5.8015,0.6054
5.8012,0.6717
5.8010,0.6468
5.8007,0.6220
5.8004,0.6256
5.8001,0.6292
5.7999,0.7239
5.7996,0.8186
5.7993,0.8804
5.7990,0.9423
5.7988,1.0042
5.7985,1.0660
5.7982,1.1563
5.7979,1.2467
5.7977,1.3370
5.7974,1.4273
5.7971,1.4477
5.7968,1.4680
5.7966,1.4884
5.7963,1.5088
5.7960,1.4295
5.7957,1.3503
5.7955,1.4228
5.7952,1.4954
5.7949,1.4743
5.7946,1.4531
5.7944,1.3865
5.7941,1.3199
5.7938,1.3206
5.7935,1.3213
5.7933,1.3220
5.7930,1.3227
5.7927,1.3787
5.7924,1.4347
5.7922,1.3996
5.7919,1.3645
5.7916,1.3578
5.7913,1.3512
5.7911,1.3445
5.7908,1.3379
5.7905,1.3308
5.7902,1.3237
5.7900,1.3166
5.7897,1.3094
5.7894,1.3023
5.7891,1.2952
5.7889,1.2881
5.7886,1.2810
5.7883,1.2800
5.7880,1.2791
5.7878,1.2781
5.7875,1.2772
5.7872,1.2762
5.7869,1.2753
5.7867,1.2743
5.7864,1.2734
5.7861,1.2080
5.7858,1.1427
5.7856,1.0773
5.7853,1.0120
5.7850,0.9883
5.7847,0.9647
5.7845,1.0321
5.7842,1.0996
5.7839,1.2159
5.7836,1.3321
5.7834,1.3574
5.7831,1.3826
5.7828,1.4609
5.7825,1.5393
5.7823,1.7087
5.7820,1.8781
5.7817,2.1163
5.7814,2.3545
5.7812,2.6420
5.7809,3.1117
5.7806,3.6449
5.7803,4.1781
5.7801,4.8327
5.7798,5.6694
5.7795,6.6295
5.7792,7.5895
5.7790,8.4888
5.7787,9.3882
5.7784,10.1044
5.7781,10.3958
5.7779,10.3304
5.7776,10.0830
5.7773,9.8147
5.7770,9.5463
5.7768,9.2666
5.7765,8.9869
5.7762,8.8021
5.7759,8.6172
5.7757,8.4324
5.7754,8.2475
5.7751,8.1509
5.7748,8.0543
5.7746,7.8666
5.7743,7.6789
5.7740,7.3982
5.7737,7.1176
5.7735,6.8369
5.7732,6.5563
5.7729,6.4180
