chemShift1,chemShift2,indexColumn1,indexColumn2,Jvalue,JvalueShifted,Label,labelColumn1,labelColumn2
0.99,1.11,1,2,4.19,4.19,J_H9_7ax,H9,7ax
1.27,1.45,3,5,13.44,14.76,J_12ax_11ax,12ax,11ax
1.29,1.57,4,6,12.76,15.76,J_H14_15ax,H14,15ax
1.45,1.69,5,7,13.7,14.76,J_11ax_11eq,11ax,11eq
2.33,2.43,15,17,-14.56,14.56,J_6eq_6ax,6eq,6ax
2.35,2.4301,16,18,-16.75,16.75,J_2eq_2ax,2eq,2ax
1.69,1.86,7,10,2.74,6.41,J_11eq_12eq,11eq,12eq
1.73,1.9701,9,12,3.54,15.01,J_H8_7eq,H8,7eq
1.97,2.1,11,14,9.07,9.07,J_15eq_16ax,15eq,16ax
1.9701,2.33,12,15,2.45,11.29,J_7eq_6eq,7eq,6eq
2.04,2.35,13,16,3.09,6.19,J_1eq_2eq,1eq,2eq
2.43,5.75,17,20,1.76,2.89,J_6ax_H20,6ax,H20
0.99,1.45,1,5,12.51,16.76,J_H9_11ax,H9,11ax
1.29,1.73,4,9,10.9,17.76,J_H14_H8,H14,H8
1.45,1.86,5,10,4.04,18.76,J_11ax_12eq,11ax,12eq
1.57,1.97,6,11,-12.42,19.76,J_15ax_15eq,15ax,15eq
1.71,2.04,8,13,-13.39,16.01,J_1ax_1eq,1ax,1eq
1.9701,2.43,12,17,5.42,12.29,J_7eq_6ax,7eq,6ax
2.04,2.4301,13,18,5.16,21.41,J_1eq_2ax,1eq,2ax
2.1,2.47,14,19,19.41,19.41,J_16ax_16eq,16ax,16eq
1.11,1.73,2,9,11.81,20.76,J_7ax_H8,7ax,H8
1.27,1.86,3,10,13.01,21.76,J_12ax_12eq,12ax,12eq
1.29,1.97,4,11,5.91,22.76,J_H14_15eq,H14,15eq
0.99,1.73,1,9,10.55,23.76,J_H9_H8,H9,H8
1.57,2.1,6,14,9.29,24.76,J_15ax_16ax,15ax,16ax
1.71,2.35,8,16,4.41,25.76,J_1ax_2eq,1ax,2eq
1.86,2.4301,10,18,13.01,23.76,J_12eq_2ax,12eq,2ax
1.97,2.47,11,19,0.89,22.41,J_15eq_16eq,15eq,16eq
1.11,1.9701,2,12,-12.85,26.76,noAssignement,7ax,7eq
1.71,2.4301,8,18,14.96,27.76,J_1ax_2ax,1ax,2ax
1.27,2.33,3,15,4.19,28.76,J_12ax_6eq,12ax,6eq
1.57,2.47,6,19,9,29.76,J_15ax_16eq,15ax,16eq
1.11,2.43,2,17,13.95,30.76,noAssignement,7ax,6ax
